method,seed,J0_il,J0_step0,JT_final,J_peak,peak_step,J_late3,n_checkpoints,n_eval_episodes,final_step,J_ref,eval_seed_base,eval_max_steps,J0_energy_mean,J0_knn_mean
base,0,1445.8852444518127,1445.8852444518127,3580.233531697192,3687.003560854617,253952,3259.411539899616,21,10,499712,10655.36453116767,100000,1000,0.2890767455101013,6.279705415099276
base,1,2520.1128471325305,2520.1128471325305,2827.9420940465106,4738.301645548574,155648,2964.118784193049,21,10,499712,10655.36453116767,100000,1000,0.3468210697174072,6.180909857961392
base,2,2887.2530918487705,2887.2530918487705,2362.4222599321192,3692.8516890632754,450560,3124.7458080548195,21,10,499712,10655.36453116767,100000,1000,0.2774285078048706,5.7402533322688125
lyapunov,0,2097.228501458132,2097.228501458132,2370.1423825606075,2904.331978091107,253952,2392.7112085857448,21,10,499712,10655.36453116767,100000,1000,0.2548549771308899,6.115930442337082
lyapunov,1,2938.611521044965,2938.611521044965,4699.380517908236,5451.912474744849,450560,4981.978335561468,21,10,499712,10655.36453116767,100000,1000,0.3675945997238159,6.036650472713623
lyapunov,2,2254.1328088200144,2254.1328088200144,3602.220305685706,3602.220305685706,499712,3522.5052085867496,21,10,499712,10655.36453116767,100000,1000,0.3577224016189575,5.972166978530543
twostep,0,4298.517282884162,4298.517282884162,2919.7818505299447,4298.517282884162,0,3067.9392422193355,21,10,499712,10655.36453116767,100000,1000,0.31621891260147095,5.64766678302846
twostep,1,2141.405259248971,2141.405259248971,2045.2976538030084,3424.9297243037036,475136,2470.971149366242,21,10,499712,10655.36453116767,100000,1000,0.3586764335632324,6.443045869080283
twostep,2,3431.74881583801,3431.74881583801,1990.780094617851,3431.74881583801,0,1950.2821416042614,21,10,499712,10655.36453116767,100000,1000,0.2886049747467041,5.71391776010946
dagger,0,2892.7651158642084,2892.7651158642084,3639.628797499287,3639.628797499287,499712,3391.04586914089,21,10,499712,10655.36453116767,100000,1000,0.48595282435417175,6.3795908152757566
dagger,1,2076.532186991214,2076.532186991214,2264.686624717391,2264.686624717391,499712,2087.851667823205,21,10,499712,10655.36453116767,100000,1000,0.4756186008453369,5.37243429532194
dagger,2,1410.4611366331578,1410.4611366331578,1902.9213725214963,2120.2633413694416,475136,1810.944956576566,21,10,499712,10655.36453116767,100000,1000,0.4767214059829712,5.410302123729999
