method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref,energy_mean,knn_mean
base,0,0,5375.566694215493,4360.029163192451,-266.5734858320121,10811.157356919057,10,5375.566694215493,0.0,0.0,11478.45192793555,0.16168758273124695,4.949315708940228
base,0,32768,6351.663611982938,3455.432075058323,-234.76374790788157,10577.540751357548,10,5375.566694215493,976.0969177674451,0.15994023813757974,11478.45192793555,0.24064978957176208,5.35753619586428
base,0,57344,3050.7087458473966,2732.0143643441575,-250.6515109010356,8441.343972991906,10,5375.566694215493,-2324.8579483680965,-0.38094407136180386,11478.45192793555,0.28186726570129395,5.118448773465554
base,0,81920,4007.452410477132,4178.782721739886,-262.89420300850315,10785.912007900868,10,5375.566694215493,-1368.1142837383609,-0.22417499774614671,11478.45192793555,0.27111828327178955,3.718781848010421
base,0,106496,2199.3197706981487,3327.7519582333603,-252.8296786074669,9036.689595975355,10,5375.566694215493,-3176.2469235173444,-0.5204500496662282,11478.45192793555,0.2761366665363312,5.091870445200801
base,0,131072,2983.087551453214,3574.6699062066405,-344.0122908754445,10015.830493142952,10,5375.566694215493,-2392.479142762279,-0.3920242722493246,11478.45192793555,0.3044097423553467,6.9089058097600935
base,0,155648,2260.9934882621765,3606.0626794341374,-258.03289412942183,8733.07108704438,10,5375.566694215493,-3114.5732059533166,-0.5103443840356248,11478.45192793555,0.34064334630966187,7.260184161104758
base,0,180224,3341.1393256663723,3480.5059529752784,-287.2421511246957,9134.011832119872,10,5375.566694215493,-2034.4273685491207,-0.3333550100164125,11478.45192793555,0.34176963567733765,6.2956997442265346
base,0,204800,3626.8935491669736,3168.9874324548873,-300.1331167904331,8584.290588403921,10,5375.566694215493,-1748.6731450485195,-0.2865322020312794,11478.45192793555,0.3461015820503235,5.018065064573287
base,0,229376,3728.138875617532,3753.99402366949,-273.1743188984625,9590.877463311088,10,5375.566694215493,-1647.427818597961,-0.26994245430432534,11478.45192793555,0.36054450273513794,8.647723980428776
base,0,253952,2977.959086794889,3442.185271515301,-270.99275205898334,9460.166620669133,10,5375.566694215493,-2397.607607420604,-0.3928646066913273,11478.45192793555,0.38776302337646484,3.275630112822851
base,0,278528,6628.321932189177,4270.846602066516,-317.7758443087375,10214.747186198489,10,5375.566694215493,1252.7552379736835,0.20527261939100647,11478.45192793555,0.3796771168708801,8.495032894226906
base,0,303104,5374.56769483098,4432.536568881301,-320.44393923748277,10587.321759141672,10,5375.566694215493,-0.9989993845128993,-0.00016369296588267303,11478.45192793555,0.37574446201324463,4.608847852915527
base,0,327680,6960.48986912784,4725.383895045712,-285.05504709715444,10329.065201457737,10,5375.566694215493,1584.9231749123473,0.25970063567565166,11478.45192793555,0.38279396295547485,6.375761374654372
base,0,352256,8941.57173086128,3162.254983896393,-311.8840664428458,10449.535368693916,10,5375.566694215493,3566.005036645787,0.5843146150542616,11478.45192793555,0.419021874666214,7.93669551235636
base,0,376832,8805.850061540297,2212.3561644406213,2771.0082704003134,10360.845540615408,10,5375.566694215493,3430.283367324804,0.562075679845576,11478.45192793555,0.4252476096153259,0.9522941559602817
base,0,401408,6286.139258184787,4431.491812428177,-237.9959509499271,10095.856483512085,10,5375.566694215493,910.5725639692937,0.14920361909952615,11478.45192793555,0.4060664772987366,7.1766123697280895
base,0,425984,9936.142724354577,577.1786949548454,8270.920900412504,10345.79639536947,10,5375.566694215493,4560.576030139084,0.7472819584077072,11478.45192793555,0.4016147255897522,0.9696856894890468
base,0,450560,8081.512509621282,3228.2031824819624,-255.5909155589258,10350.762315866963,10,5375.566694215493,2705.9458154057893,0.44338795689804783,11478.45192793555,0.412189781665802,0.9258555633664132
base,0,475136,9172.106388537493,3089.243989086642,-68.32075697563897,10395.148968380965,10,5375.566694215493,3796.5396943220003,0.6220893148576715,11478.45192793555,0.4221855103969574,6.2456269563515985
base,0,499712,8989.925091423744,2771.1737605261274,875.4461302263479,10334.39351239461,10,5375.566694215493,3614.3583972082506,0.5922376479645604,11478.45192793555,0.4117509126663208,4.597342847398917
lyapunov,0,0,3327.2943325917067,1737.2418899234992,1970.9663342198069,7461.149930387158,10,3327.2943325917067,0.0,0.0,11478.45192793555,0.10531646758317947,4.339302916233241
lyapunov,0,32768,4737.873710468112,4289.981354527975,-231.51662565277584,10278.896340750958,10,3327.2943325917067,1410.5793778764055,0.17305264451138977,11478.45192793555,0.11555328965187073,3.9100913567985085
lyapunov,0,57344,4203.0754227932175,3049.1710347399335,514.6510923890833,9657.619135129431,10,3327.2943325917067,875.7810902015108,0.10744254173104659,11478.45192793555,0.12734001874923706,4.917789995939533
lyapunov,0,81920,3321.5712690111577,2540.226386108753,-276.9955703792298,7899.816402005517,10,3327.2943325917067,-5.723063580549024,-0.0007021166641552939,11478.45192793555,0.1308349072933197,1.290624585093061
lyapunov,0,106496,6251.767764652182,3358.861104611156,397.53801745228776,10218.619485807358,10,3327.2943325917067,2924.4734320604757,0.35878013613333054,11478.45192793555,0.1281399428844452,7.2626759824186555
lyapunov,0,131072,3911.017229931599,3631.190067454174,-257.96175921386947,10244.288929529097,10,3327.2943325917067,583.7228973398924,0.0716122698451712,11478.45192793555,0.13847963511943817,2.1244596659868953
lyapunov,0,155648,5496.75034623218,4174.337214389422,-266.94146545216466,10498.720926352136,10,3327.2943325917067,2169.4560136404734,0.26615311849860085,11478.45192793555,0.1457800567150116,5.644031746912996
lyapunov,0,180224,6707.829513335635,4376.576418260142,-276.03541330093003,10578.907768129513,10,3327.2943325917067,3380.5351807439283,0.41473068589181106,11478.45192793555,0.16561570763587952,4.74641913664341
lyapunov,0,204800,7903.79091950034,3184.567428664334,-259.3934050758714,10296.39805026281,10,3327.2943325917067,4576.496586908634,0.5614535767240466,11478.45192793555,0.16082987189292908,5.339828354379535
lyapunov,0,229376,6389.881560454718,3513.2846829112978,-273.879012513213,9803.985110744728,10,3327.2943325917067,3062.5872278630113,0.3757242074716747,11478.45192793555,0.1873689591884613,4.2802559829096
lyapunov,0,253952,8235.5574505062,3253.2620218632615,-259.944918524651,10334.401313271872,10,3327.2943325917067,4908.263117914493,0.6021553454095976,11478.45192793555,0.2057991325855255,7.546680537875493
lyapunov,0,278528,7944.851699177571,3245.214892761953,443.47315223044546,10277.743411304076,10,3327.2943325917067,4617.557366585865,0.5664909937034028,11478.45192793555,0.21517789363861084,1.0641878326604763
lyapunov,0,303104,8784.872900764185,1892.2902741715193,3824.3168018104784,10050.858023400833,10,3327.2943325917067,5457.578568172478,0.6695464421667475,11478.45192793555,0.24335667490959167,1.2689586376309396
lyapunov,0,327680,6986.591072073787,4556.219352166912,-226.53493175067302,10279.31924151067,10,3327.2943325917067,3659.29673948208,0.44892970062601134,11478.45192793555,0.25160664319992065,4.8554394602547095
lyapunov,0,352256,8068.398343526465,2656.744796697982,1868.3259557594592,10462.108141651153,10,3327.2943325917067,4741.104010934759,0.5816479383322627,11478.45192793555,0.2531551122665405,3.011308148250977
lyapunov,0,376832,8618.405079816532,2442.964877603991,3692.0591811794284,10515.706161915663,10,3327.2943325917067,5291.110747224825,0.649123843415581,11478.45192793555,0.2574707567691803,2.2354713782439632
lyapunov,0,401408,7551.54139983071,3489.331851504687,633.2106561830487,10502.552446466842,10,3327.2943325917067,4224.247067239004,0.5182389148179108,11478.45192793555,0.25420519709587097,0.8495495762020349
lyapunov,0,425984,9603.015569996129,1151.862870518186,6752.682216592296,10605.221684478367,10,3327.2943325917067,6275.721237404422,0.7699177893725625,11478.45192793555,0.25536078214645386,6.034130656720202
lyapunov,0,450560,7853.169359509967,3058.4056025619,1486.5015515878524,10513.217451723864,10,3327.2943325917067,4525.87502691826,0.5552432244652362,11478.45192793555,0.2580207586288452,1.5865580618689459
lyapunov,0,475136,6931.741379459066,4112.727766720275,-232.88243229655205,10476.56237716294,10,3327.2943325917067,3604.447046867359,0.44220063276461663,11478.45192793555,0.25365227460861206,6.860852503864963
lyapunov,0,499712,9128.08192598247,2770.1181000135307,1923.0147881515825,10682.459891070432,10,3327.2943325917067,5800.787593390763,0.711651998483341,11478.45192793555,0.25018882751464844,3.0573346905807655
twostep,0,0,5170.92394242424,3784.8796292790985,1020.3387610232983,11030.308898583506,10,5170.92394242424,0.0,0.0,11478.45192793555,0.16150030493736267,2.587950059772531
twostep,0,32768,1477.7941192431626,3046.858140986961,-230.29382207110487,9979.78464065539,10,5170.92394242424,-3693.129823181077,-0.5855114445911075,11478.45192793555,0.2983824610710144,1.4412023914009333
twostep,0,57344,612.4247957924283,829.1292470424378,-223.51886018491086,2322.9752547945654,10,5170.92394242424,-4558.4991466318115,-0.7227077163002988,11478.45192793555,0.40953582525253296,8.147643574865658
twostep,0,81920,45.36181225367638,250.9087254324751,-294.1948617864725,636.635776335811,10,5170.92394242424,-5125.562130170563,-0.812610287442499,11478.45192793555,0.47057175636291504,8.426358378660678
twostep,0,106496,240.8452549084647,494.1767744316003,-214.58684182487593,1481.5031770492278,10,5170.92394242424,-4930.078687515775,-0.7816182025761566,11478.45192793555,0.5126345157623291,7.813880188693603
twostep,0,131072,104.36729810571663,276.29342397803765,-209.65885089205577,797.3239834671091,10,5170.92394242424,-5066.556644318523,-0.8032555154972577,11478.45192793555,0.5762841701507568,9.120193332882721
twostep,0,155648,91.89784624136784,136.69573123309334,-78.1910280421429,328.5467540030719,10,5170.92394242424,-5079.026096182872,-0.8052324313176893,11478.45192793555,0.6308366060256958,8.19568278097113
twostep,0,180224,376.2217119464342,427.6357033523613,-207.83677770132982,1390.2173329425145,10,5170.92394242424,-4794.702230477806,-0.7601555222158836,11478.45192793555,0.7083650231361389,9.370525504380465
twostep,0,204800,240.29772141481848,624.7757912312145,-346.5156541122102,1858.8442883413873,10,5170.92394242424,-4930.626221009421,-0.781705008927998,11478.45192793555,0.6843326687812805,9.79905555431843
twostep,0,229376,281.96135421427397,463.5815557301867,-165.83967940115969,1373.1884601303036,10,5170.92394242424,-4888.962588209965,-0.7750996267737604,11478.45192793555,0.7177294492721558,8.716706600459416
twostep,0,253952,485.7699182050836,491.1215175067407,-232.71292859598236,1711.1583200498103,10,5170.92394242424,-4685.154024219156,-0.7427876712142043,11478.45192793555,0.6861841678619385,7.491387139046191
twostep,0,278528,181.62825864723268,323.27302402734546,-154.18793785109727,860.2381369977953,10,5170.92394242424,-4989.295683777007,-0.7910065075330063,11478.45192793555,0.7168139815330505,7.6877843384424835
twostep,0,303104,148.91421941989907,318.1064790753234,-193.58450795280933,696.9284387668365,10,5170.92394242424,-5022.00972300434,-0.7961930147189106,11478.45192793555,0.7383143901824951,8.479832733023168
twostep,0,327680,292.790881736445,365.848092196937,-296.7538868364637,1026.830450641857,10,5170.92394242424,-4878.133060687795,-0.773382705731899,11478.45192793555,0.7789170742034912,7.08628348686695
twostep,0,352256,17.01660096220627,227.06786200503987,-344.82357116953875,430.7571510334931,10,5170.92394242424,-5153.907341462033,-0.8171041575215675,11478.45192793555,0.7949638366699219,9.116147784123818
twostep,0,376832,389.4092040009763,629.9416385758356,-298.3457072008088,1606.6791976505028,10,5170.92394242424,-4781.514738423263,-0.7580647677899429,11478.45192793555,0.7998182773590088,8.116641948608558
twostep,0,401408,165.1702462597374,312.73396289852826,-186.3860188695642,744.5163519150451,10,5170.92394242424,-5005.753696164502,-0.7936157725925812,11478.45192793555,0.8147745728492737,8.761144684743881
twostep,0,425984,485.947392477614,810.515963663829,-354.48864389612083,2636.656465356933,10,5170.92394242424,-4684.976549946626,-0.7427595343160551,11478.45192793555,0.8253883719444275,7.801932556392749
twostep,0,450560,112.45952519247157,375.63053842421533,-398.7923370275762,1052.5595397820643,10,5170.92394242424,-5058.464417231768,-0.8019725680249579,11478.45192793555,0.8240612745285034,7.3602528693060085
twostep,0,475136,487.2346434226778,644.8805287514139,-282.0032574741321,1710.7526642217204,10,5170.92394242424,-4683.689299001562,-0.7425554526302003,11478.45192793555,0.8215372562408447,8.773419152837992
twostep,0,499712,241.4211947630666,343.40920364149986,-236.65545418520895,693.5094385769069,10,5170.92394242424,-4929.502747661173,-0.7815268926595247,11478.45192793555,0.8190875053405762,10.057735085755585
