method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref,energy_mean,knn_mean
base,0,0,3289.276780497187,2210.7895172261597,-434.98765313696225,7734.061272669259,10,3289.276780497187,0.0,0.0,11485.483582540317,0.09141770005226135,4.913941034982603
base,0,32768,7607.355189375105,3784.5142647702387,-186.30543695304272,11010.07263375592,10,3289.276780497187,4318.078408877918,0.5268386355594004,11485.483582540317,0.14234450459480286,3.8466368174364174
base,0,57344,4692.304577973067,4395.539672422897,-388.5702194355796,10491.390057236467,10,3289.276780497187,1403.0277974758806,0.17118013627413073,11485.483582540317,0.18630075454711914,3.698141585410635
base,0,81920,8478.754130354257,3768.709409856462,-218.0717269611588,10799.850658401916,10,3289.276780497187,5189.47734985707,0.6331559799016167,11485.483582540317,0.20533999800682068,3.1860828575720395
base,0,106496,6917.273046000117,4454.399290239687,-349.6749208025869,10671.516450549223,10,3289.276780497187,3627.99626550293,0.44264332912584736,11485.483582540317,0.1827245056629181,4.257555640410383
base,0,131072,6350.030079863647,4473.169447349705,-361.4267431543421,10922.803598371964,10,3289.276780497187,3060.7532993664604,0.3734353430699245,11485.483582540317,0.23000536859035492,3.8992474990377826
base,0,155648,4968.777049710656,3893.2869818281256,-349.9005112407855,10397.274942890192,10,3289.276780497187,1679.500269213469,0.20491189516959177,11485.483582540317,0.22635671496391296,4.837231106733283
base,0,180224,5572.991110537546,3901.4237545677356,-403.83129400623136,10788.97221984874,10,3289.276780497187,2283.714330040359,0.27863063791807324,11485.483582540317,0.23867443203926086,1.5016925181647143
base,0,204800,6800.014443200533,4473.14515735653,-276.16180198247235,10748.738059713989,10,3289.276780497187,3510.737662703346,0.4283368815681738,11485.483582540317,0.2181071639060974,5.12574009708762
base,0,229376,6895.629696432591,3193.0327836689453,1562.6692164257913,10891.889607139143,10,3289.276780497187,3606.3529159354043,0.4400026747246566,11485.483582540317,0.21975253522396088,4.438156220399341
base,0,253952,5573.2118778353015,4581.3975984199815,-346.3244983173182,10908.409743553524,10,3289.276780497187,2283.9350973381147,0.27865757321912904,11485.483582540317,0.24015279114246368,3.616817688897251
base,0,278528,7942.484555381605,2608.985570373221,3153.7695392120577,10783.940005830915,10,3289.276780497187,4653.2077748844185,0.5677269847750488,11485.483582540317,0.2447139024734497,8.958122219041984
base,0,303104,7448.1986732749865,4536.142366171012,-386.6530168071758,10850.975471246169,10,3289.276780497187,4158.9218927778,0.5074203217070674,11485.483582540317,0.254620224237442,0.7119125319083532
base,0,327680,7190.751159192082,4170.600889720501,-370.50441477406684,11012.621355894937,10,3289.276780497187,3901.474378694895,0.4760097533466744,11485.483582540317,0.2632112205028534,4.008556254248817
base,0,352256,7195.281514222477,4824.644454754355,-388.1485610399654,10830.733520230502,10,3289.276780497187,3906.0047337252904,0.4765624913557633,11485.483582540317,0.2628183662891388,0.7519874900996686
base,0,376832,5839.92060753923,4280.94553969676,-385.7595456202387,11173.292655665111,10,3289.276780497187,2550.6438270420435,0.31119808081160505,11485.483582540317,0.258166640996933,0.6981139615476132
base,0,401408,6203.693114205134,4906.009710516381,-376.88739819657627,11007.18618966976,10,3289.276780497187,2914.4163337079476,0.355581112549023,11485.483582540317,0.26753556728363037,1.5464264787713686
base,0,425984,8230.377401159534,3424.54053125784,1809.531459930846,10936.922014411026,10,3289.276780497187,4941.100620662348,0.6028521167655005,11485.483582540317,0.2545709013938904,3.8926332839856546
base,0,450560,6894.183521899955,3762.562028355047,-372.72519182416426,10753.336352385022,10,3289.276780497187,3604.906741402768,0.4398262303562569,11485.483582540317,0.2643352150917053,3.476963939587275
base,0,475136,8734.070276497918,3530.4795460311443,1237.376722942207,11032.33884905202,10,3289.276780497187,5444.7934960007315,0.6643065050505021,11485.483582540317,0.26686516404151917,5.325435271254183
base,0,499712,8062.694933102235,4052.588321125123,-34.406729719140145,10950.079435905975,10,3289.276780497187,4773.418152605049,0.5823935714790345,11485.483582540317,0.27158528566360474,5.726830394548177
base,1,0,6820.963286549016,3159.36734686133,2724.540260313736,11119.668431812599,10,6820.963286549016,0.0,0.0,11485.483582540317,0.081244096159935,8.401821334521971
base,1,32768,8858.649946273452,3414.0001817119455,1191.9438649726985,11294.37953613283,10,6820.963286549016,2037.6866597244361,0.43684806367736895,11485.483582540317,0.11782415956258774,4.1906638944551355
base,1,57344,8221.227758006726,3291.392418043815,1292.7764774935642,11383.980505857708,10,6820.963286549016,1400.26447145771,0.3001947429322808,11485.483582540317,0.1236744225025177,4.883734068600336
base,1,81920,5444.640435440044,4288.442732703255,-191.9268483359469,10627.710744340044,10,6820.963286549016,-1376.322851108972,-0.2950620349956939,11485.483582540317,0.14733317494392395,5.571047635175785
base,1,106496,1017.8887248273447,2316.726978335159,-243.96162630329812,7397.125160147074,10,6820.963286549016,-5803.074561721671,-1.2440881788990727,11485.483582540317,0.16894912719726562,8.840775841871897
base,1,131072,1500.3711411935672,2887.5184163947442,-257.72764603783884,8522.95719600459,10,6820.963286549016,-5320.592145355448,-1.1406515153953398,11485.483582540317,0.2563062310218811,6.2179998530904435
base,1,155648,4502.111824814207,4547.373795868883,-259.38824956333707,10515.907159926392,10,6820.963286549016,-2318.851461734809,-0.4971253878411698,11485.483582540317,0.3080851435661316,5.023988795702656
base,1,180224,927.0965766207735,1237.5451410680744,-218.2045979304898,3313.50675186299,10,6820.963286549016,-5893.866709928242,-1.2635525916201695,11485.483582540317,0.36416858434677124,8.935600100447735
base,1,204800,4299.895487859627,3562.0114703358777,-166.50828552188295,9933.90985430417,10,6820.963286549016,-2521.067798689389,-0.540477399211988,11485.483582540317,0.3971743583679199,3.0987704335312047
base,1,229376,3198.8923228518765,4348.390430836669,-186.7131129264385,10651.986170487851,10,6820.963286549016,-3622.070963697139,-0.7765152112283528,11485.483582540317,0.38525834679603577,5.448981373905142
base,1,253952,4455.184621077671,4418.650624070391,-132.06686281398976,9661.847812815964,10,6820.963286549016,-2365.7786654713445,-0.5071858443830363,11485.483582540317,0.4005288779735565,5.900919081964095
base,1,278528,6580.717667225317,3382.3759536089556,-144.25479602733543,10234.924949024056,10,6820.963286549016,-240.24561932369852,-0.05150489311380234,11485.483582540317,0.40988272428512573,3.8489048637966317
base,1,303104,3194.072439483274,3987.73973493974,-173.00279659619616,10207.794411393868,10,6820.963286549016,-3626.8908470657416,-0.7775485186344137,11485.483582540317,0.4062706232070923,4.29693567511936
base,1,327680,6495.574474237388,3698.9102965266625,-142.9287193661905,10712.492069634536,10,6820.963286549016,-325.3888123116276,-0.06975825842616852,11485.483582540317,0.39928072690963745,4.498199117579063
base,1,352256,6703.558718167323,4066.045012657615,-178.4648736327763,10567.944141386346,10,6820.963286549016,-117.40456838169303,-0.02516969825544999,11485.483582540317,0.4035710096359253,4.032937360192339
base,1,376832,6113.249764635267,4289.798386416287,-109.43568664141509,10371.727269344072,10,6820.963286549016,-707.713521913749,-0.151722680330116,11485.483582540317,0.38731253147125244,4.695580391040445
base,1,401408,6490.816420349946,4054.2561062983673,-51.10442270183064,10642.945496088829,10,6820.963286549016,-330.14686619906934,-0.07077831056111385,11485.483582540317,0.3720196485519409,4.459990507837136
base,1,425984,7052.8247359824945,4690.248955375712,-188.07916129715755,10674.885320945024,10,6820.963286549016,231.8614494334788,0.04970745857468635,11485.483582540317,0.3787602484226227,6.1963446312665935
base,1,450560,8188.197615333585,3527.0069363255475,-118.84602345280312,10881.577254949309,10,6820.963286549016,1367.2343287845697,0.29311359834074685,11485.483582540317,0.3773707151412964,7.657667217115561
base,1,475136,7266.904396644393,4012.353635087006,-158.18034810422438,10901.703362551609,10,6820.963286549016,445.94111009537755,0.09560278050092685,11485.483582540317,0.3801402747631073,2.9635054414212707
base,1,499712,2903.741666539737,4148.973126951303,-213.47245884301472,10459.471967616584,10,6820.963286549016,-3917.221620009279,-0.8397908832202866,11485.483582540317,0.3964948356151581,2.952309275588393
base,2,0,6411.38374331294,4293.118159584771,-84.39544024784487,11007.64669306762,10,6411.38374331294,0.0,0.0,11485.483582540317,0.09407953172922134,5.036833542411526
base,2,32768,5980.57823682632,4115.981637340253,-93.57041708625286,10972.424027158628,10,6411.38374331294,-430.8055064866203,-0.08490284386428536,11485.483582540317,0.1412840038537979,0.8230994507114093
base,2,57344,6949.0140338486,4827.3305934181335,-123.91302411942331,10985.841531289083,10,6411.38374331294,537.6302905356597,0.1059557965874727,11485.483582540317,0.13828513026237488,3.6188165464907884
base,2,81920,8120.358902508291,3218.3215129784726,529.7943218985729,10576.2614540335,10,6411.38374331294,1708.975159195351,0.3368036130559799,11485.483582540317,0.15074634552001953,0.9676179363499087
base,2,106496,6356.954930303298,4473.56235512068,-37.65019264509601,10936.350679067898,10,6411.38374331294,-54.428813009642,-0.010726791888904371,11485.483582540317,0.20582447946071625,1.625111699890097
base,2,131072,6318.892631470559,4017.2508491552976,-124.4494483542521,10800.811935263386,10,6411.38374331294,-92.49111184238154,-0.018228082764377946,11485.483582540317,0.23000606894493103,1.9491744332313539
base,2,155648,9242.435258289923,3125.254642068433,-107.18775716268617,10506.761099974992,10,6411.38374331294,2831.0515149769826,0.5579416259279044,11485.483582540317,0.2292133867740631,0.8734144783635934
base,2,180224,7023.625426938977,4038.039203664352,-109.94443969025448,10645.472809123923,10,6411.38374331294,612.2416836260372,0.12066015705331527,11485.483582540317,0.23819726705551147,7.3922646696656935
base,2,204800,5096.06054892959,5138.750239525518,-97.14545333410959,10664.459260213793,10,6411.38374331294,-1315.3231943833498,-0.25922296285057106,11485.483582540317,0.24637599289417267,3.612420947364966
base,2,229376,8712.275325045135,2944.2474114236315,690.9829204361024,10520.249846699226,10,6411.38374331294,2300.891581732195,0.45345808206034216,11485.483582540317,0.24246066808700562,0.7853369293868543
base,2,253952,8103.124991363441,3642.0641933479524,-96.35583778146692,10286.091248657825,10,6411.38374331294,1691.7412480505009,0.33340716606291526,11485.483582540317,0.307151734828949,3.3034133203595886
base,2,278528,8878.638209674822,3010.0035496598825,-103.09394481437643,10350.867183532506,10,6411.38374331294,2467.254466361882,0.4862447614454746,11485.483582540317,0.28178057074546814,0.8569006883203983
base,2,303104,7924.033455057211,3493.214537728471,460.6668414398421,10412.411330250527,10,6411.38374331294,1512.6497117442705,0.2981119330274129,11485.483582540317,0.29440921545028687,2.751595241211852
base,2,327680,8002.483472857615,3626.732998949789,-82.81819714326063,10522.734178666256,10,6411.38374331294,1591.099729544675,0.31357280693029793,11485.483582540317,0.2759566307067871,5.504374930623174
base,2,352256,8771.529996193856,3056.1628651803344,-100.70064147411166,10249.89396505658,10,6411.38374331294,2360.146252880916,0.46513595065073743,11485.483582540317,0.2764854431152344,6.728204172640044
base,2,376832,4936.714163285785,4608.292350891033,-102.31964506587798,10488.908492267146,10,6411.38374331294,-1474.6695800271555,-0.2906268355888467,11485.483582540317,0.2839767038822174,1.8494287617206573
