method,seed,J0_il,J0_step0,JT_final,J_peak,peak_step,J_late3,n_checkpoints,n_eval_episodes,final_step,J_ref,eval_seed_base,eval_max_steps,J0_energy_mean,J0_knn_mean
base,0,3289.276780497187,3289.276780497187,8062.694933102235,8734.070276497918,475136,7896.982910500036,21,10,499712,11485.483582540317,100000,1000,0.09141770005226135,4.913941034982603
base,1,6820.963286549016,6820.963286549016,2903.741666539737,8858.649946273452,32768,6119.614559505905,21,10,499712,11485.483582540317,100000,1000,0.081244096159935,8.401821334521971
base,2,6411.38374331294,6411.38374331294,7126.3792649465,10290.2537006991,475136,8721.842270130497,21,10,499712,11485.483582540317,100000,1000,0.09407953172922134,5.036833542411526
lyapunov,0,6119.603139510832,6119.603139510832,9130.235615655187,9362.595186189563,155648,8986.19550324268,21,10,499712,11485.483582540317,100000,1000,0.04846889525651932,2.318872495610019
lyapunov,1,5322.215168639341,5322.215168639341,6538.626097539736,9300.702212347713,57344,7911.909803179716,21,10,499712,11485.483582540317,100000,1000,0.04627791792154312,3.255280520355204
lyapunov,2,7087.178679132203,7087.178679132203,7665.479938708918,9058.391593078788,327680,6180.667071393796,21,10,499712,11485.483582540317,100000,1000,0.048657771199941635,3.005520691398283
twostep,0,4729.273253550446,4729.273253550446,6109.630463464593,8838.916567447752,352256,6071.915245698519,21,10,499712,11485.483582540317,100000,1000,0.09251846373081207,3.9127660257200403
twostep,1,7795.825644395931,7795.825644395931,8034.123602203176,8034.123602203176,499712,7106.078248192502,21,10,499712,11485.483582540317,100000,1000,0.08859833329916,2.088368810632825
twostep,2,4616.141185849218,4616.141185849218,4372.422327161542,7557.554366126346,303104,5607.361353064568,21,10,499712,11485.483582540317,100000,1000,0.08406925201416016,6.430111112535497
dagger,0,4012.5406396577637,4012.5406396577637,7803.776596689262,9010.457719591475,376832,6899.843740129869,21,10,499712,11485.483582540317,100000,1000,0.1640508621931076,1.5943216159919897
dagger,1,5622.518722344479,5622.518722344479,8567.316547049973,9294.30194714681,450560,8585.51956270522,21,10,499712,11485.483582540317,100000,1000,0.1787276417016983,4.99050044371138
dagger,2,5342.153192857671,5342.153192857671,8175.417028462058,9484.350472783268,229376,7547.122037232076,21,10,499712,11485.483582540317,100000,1000,0.1616429090499878,4.387442226916551
