method,seed,step,eval_episode,return,J0,improvement,norm_improvement,J_ref
base,0,0,0,3778.198009114787,5375.566694215493,-1597.368685100706,-0.2617399186884723,11478.45192793555
base,0,0,1,-266.5734858320121,5375.566694215493,-5642.140180047505,-0.9245037327506476,11478.45192793555
base,0,0,2,4341.016938903831,5375.566694215493,-1034.549755311662,-0.16951814027666495,11478.45192793555
base,0,0,3,2313.7573811300726,5375.566694215493,-3061.8093130854204,-0.5016986548700628,11478.45192793555
base,0,0,4,10811.157356919057,5375.566694215493,5435.590662703564,0.8906591642555929,11478.45192793555
base,0,0,5,10060.601148375012,5375.566694215493,4685.034454159519,0.7676753328910377,11478.45192793555
base,0,0,6,10056.482451565149,5375.566694215493,4680.915757349656,0.7670004559022929,11478.45192793555
base,0,0,7,-248.4029137934332,5375.566694215493,-5623.969608008926,-0.9215263587152972,11478.45192793555
base,0,0,8,10808.099838872668,5375.566694215493,5432.5331446571745,0.8901581687544822,11478.45192793555
base,0,0,9,2101.330216899798,5375.566694215493,-3274.236477315695,-0.5365063165022611,11478.45192793555
base,0,32768,0,5782.597599398945,5375.566694215493,407.030905183452,0.06669483195715423,11478.45192793555
base,0,32768,1,-234.76374790788157,5375.566694215493,-5610.330442123374,-0.9192914869520274,11478.45192793555
base,0,32768,2,7393.752489747955,5375.566694215493,2018.1857955324622,0.33069371582653356,11478.45192793555
base,0,32768,3,9365.914697960814,5375.566694215493,3990.348003745321,0.6538461482191644,11478.45192793555
base,0,32768,4,9679.370920301357,5375.566694215493,4303.804226085864,0.7052081205133922,11478.45192793555
base,0,32768,5,10577.540751357548,5375.566694215493,5201.974057142055,0.8523794659528237,11478.45192793555
base,0,32768,6,8579.011079109876,5375.566694215493,3203.444384894383,0.5249065420187812,11478.45192793555
base,0,32768,7,2167.035820087959,5375.566694215493,-3208.530874127534,-0.5257399984967456,11478.45192793555
base,0,32768,8,2757.6834866744366,5375.566694215493,-2617.8832075410564,-0.4289582888840183,11478.45192793555
base,0,32768,9,7448.493023098374,5375.566694215493,2072.9263288828806,0.3396633312207397,11478.45192793555
base,0,57344,0,-83.9317030304081,5375.566694215493,-5459.498397245901,-0.894576612089336,11478.45192793555
base,0,57344,1,-250.6515109010356,5375.566694215493,-5626.218205116528,-0.9218948069198954,11478.45192793555
base,0,57344,2,8441.343972991906,5375.566694215493,3065.7772787764134,0.50234883352137,11478.45192793555
base,0,57344,3,-154.49804042250082,5375.566694215493,-5530.064734637994,-0.9061393950482277,11478.45192793555
base,0,57344,4,3999.9668039116364,5375.566694215493,-1375.5998903038567,-0.22540156620968413,11478.45192793555
base,0,57344,5,2541.9347381710113,5375.566694215493,-2833.6319560444817,-0.46431021509688636,11478.45192793555
base,0,57344,6,3453.821381028368,5375.566694215493,-1921.7453131871252,-0.31489127507331816,11478.45192793555
base,0,57344,7,2442.8004570452504,5375.566694215493,-2932.7662371702427,-0.48055405343121615,11478.45192793555
base,0,57344,8,3504.101852785122,5375.566694215493,-1871.464841430371,-0.3066524716511757,11478.45192793555
base,0,57344,9,6612.199506894618,5375.566694215493,1236.632812679125,0.2026308483803317,11478.45192793555
base,0,81920,0,10785.912007900868,5375.566694215493,5410.345313685375,0.8865225390287961,11478.45192793555
base,0,81920,1,-262.89420300850315,5375.566694215493,-5638.460897223997,-0.9239008567859193,11478.45192793555
base,0,81920,2,4788.700475563058,5375.566694215493,-586.8662186524352,-0.09616209318728162,11478.45192793555
base,0,81920,3,-60.178544835872984,5375.566694215493,-5435.745239051366,-0.890684492660414,11478.45192793555
base,0,81920,4,2481.2402415260085,5375.566694215493,-2894.3264526894845,-0.4742554286001167,11478.45192793555
base,0,81920,5,3808.5783180568096,5375.566694215493,-1566.9883761586834,-0.2567618947254482,11478.45192793555
base,0,81920,6,292.47327336990054,5375.566694215493,-5083.093420845593,-0.8329000506067614,11478.45192793555
base,0,81920,7,-218.48132787504196,5375.566694215493,-5594.048022090535,-0.9166234996957364,11478.45192793555
base,0,81920,8,10764.68744212939,5375.566694215493,5389.1207479138975,0.8830447469755016,11478.45192793555
base,0,81920,9,7694.486421944701,5375.566694215493,2318.919727729208,0.3799710527959122,11478.45192793555
base,0,106496,0,7908.029245321286,5375.566694215493,2532.462551105793,0.414961522903676,11478.45192793555
base,0,106496,1,-243.70347813748194,5375.566694215493,-5619.270172352975,-0.9207563236457836,11478.45192793555
base,0,106496,2,-142.83244479603638,5375.566694215493,-5518.39913901153,-0.9042279064362353,11478.45192793555
base,0,106496,3,3161.226159896793,5375.566694215493,-2214.3405343187,-0.3628350278850153,11478.45192793555
base,0,106496,4,1081.4426609016018,5375.566694215493,-4294.124033313891,-0.7036219539053589,11478.45192793555
base,0,106496,5,-193.38412120515255,5375.566694215493,-5568.950815420646,-0.9125111486183956,11478.45192793555
base,0,106496,6,9036.689595975355,5375.566694215493,3661.1229017598616,0.599900335816785,11478.45192793555
base,0,106496,7,-235.3051573453098,5375.566694215493,-5610.8718515608025,-0.9193802006368839,11478.45192793555
