method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,0,0,1445.8852444518127,1030.0083444520571,576.7142085198221,3750.6536617006677,10,1445.8852444518127,0.0,0.0,10655.36453116767
base,0,32768,2547.4248314793817,1813.3104379793574,658.1492963367879,5503.770154531219,10,1445.8852444518127,1101.539587027569,0.11960932346054211,10655.36453116767
base,0,57344,2275.8907096063963,1514.7237370952075,485.41598213693646,4693.51550833743,10,1445.8852444518127,830.0054651545836,0.09012512425775183,10655.36453116767
base,0,81920,2258.410397646444,1715.053269645707,472.7359824680965,5492.431596134751,10,1445.8852444518127,812.5251531946312,0.08822704604791552,10655.36453116767
base,0,106496,2137.0548117356293,1737.6688290306809,643.6521078729785,6442.219921493786,10,1445.8852444518127,691.1695672838166,0.07504979876611906,10655.36453116767
base,0,131072,1620.4998055088201,1530.2248766645462,466.74742413888487,4698.496919266838,10,1445.8852444518127,174.61456105700745,0.0189603077005579,10655.36453116767
base,0,155648,3581.1531034363666,1200.3815588723774,1607.4076036882987,5158.935197546095,10,1445.8852444518127,2135.2678589845536,0.23185543854066742,10655.36453116767
base,0,180224,2866.1058022245966,1677.0674232838153,602.889988047041,5100.363857653031,10,1445.8852444518127,1420.2205577727839,0.15421290535580628,10655.36453116767
base,0,204800,2485.85811821015,1482.1373515669682,679.3242740558721,6189.816753265778,10,1445.8852444518127,1039.9728737583375,0.11292417749888575,10655.36453116767
base,0,229376,2750.7343745697704,1101.5708787454573,568.6832029162455,4292.282101248899,10,1445.8852444518127,1304.8491301179577,0.14168544055019938,10655.36453116767
base,0,253952,3687.003560854617,1427.537837612606,1577.244353205772,6071.815360937723,10,1445.8852444518127,2241.1183164028043,0.24334908048407677,10655.36453116767
base,0,278528,3264.8892364985995,1528.0264686833943,781.0061270382475,5489.303664415743,10,1445.8852444518127,1819.0039920467868,0.19751431489433727,10655.36453116767
base,0,303104,3286.123630761003,1503.3341587894583,476.2512006279221,4984.1266861597205,10,1445.8852444518127,1840.2383863091902,0.19982002552129172,10655.36453116767
base,0,327680,3110.741243120575,1305.7887323106847,634.634895865469,4295.829865752806,10,1445.8852444518127,1664.8559986687621,0.18077634431399878,10655.36453116767
base,0,352256,3310.36412650063,1616.6232959207791,485.7851734865385,5422.227939938845,10,1445.8852444518127,1864.4788820488172,0.20245214998591377,10655.36453116767
base,0,376832,2471.376394331194,1633.2033933467692,517.7185748504527,5030.368241179835,10,1445.8852444518127,1025.4911498793815,0.11135169729381351,10655.36453116767
base,0,401408,2463.8023359365316,1725.9883952295452,572.7379640753253,4749.158775916166,10,1445.8852444518127,1017.9170914847189,0.11052927746332805,10655.36453116767
base,0,425984,2446.852748628089,1402.4640809139796,634.1086461742304,4167.178729518052,10,1445.8852444518127,1000.9675041762764,0.10868882733809124,10655.36453116767
base,0,450560,2850.0683560775256,1633.7031840355419,528.0191519401532,5230.472686195516,10,1445.8852444518127,1404.1831116257129,0.15247149895854528,10655.36453116767
base,0,475136,3347.93273192413,1228.3511098362264,662.8604302061258,4887.263694262415,10,1445.8852444518127,1902.0474874723175,0.20653149087477504,10655.36453116767
base,0,499712,3580.233531697192,1214.576457299248,1295.4241319157848,6129.089435928033,10,1445.8852444518127,2134.3482872453797,0.23175558797252502,10655.36453116767
base,1,0,2520.1128471325305,1912.743123346043,517.1677002673508,6231.225885974204,10,2520.1128471325305,0.0,0.0,10655.36453116767
base,1,32768,2575.2031993654773,1326.5428774653337,404.8874626517085,4896.7943994116695,10,2520.1128471325305,55.09035223294677,0.006771806744994246,10655.36453116767
base,1,57344,3625.4542546765297,2011.8091047067799,418.7364101256264,7257.676702232816,10,2520.1128471325305,1105.3414075439991,0.1358705852428983,10655.36453116767
base,1,81920,3717.519085330224,2303.7863868427235,491.178668747809,7927.173729475237,10,2520.1128471325305,1197.4062381976933,0.14718736242670052,10655.36453116767
base,1,106496,3530.0996468798976,1589.8818435705962,680.4624781627689,5575.932270148351,10,2520.1128471325305,1009.9867997473671,0.12414942264235608,10655.36453116767
base,1,131072,3358.9007503959206,1386.7734073183112,637.5560780458201,4813.193121701661,10,2520.1128471325305,838.78790326339,0.10310534151098816,10655.36453116767
base,1,155648,4738.301645548574,1294.5452084257956,3369.5334619882374,7700.0897421084,10,2520.1128471325305,2218.1887984160435,0.2726638196696999,10655.36453116767
