method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
base,0,0,785.9808004170143,2004.0438707255162,-846.1244188588012,5761.200064817027,10,785.9808004170143,0.0,0.0,11485.483582540317
base,0,32768,1865.943339836656,3094.4665294679835,-854.2687963583786,7374.422103948968,10,785.9808004170143,1079.9625394196416,0.10093576882124877,11485.483582540317
base,0,57344,867.7535480952538,2782.9080123142553,-854.4117526435363,7073.828072322465,10,785.9808004170143,81.77274767823951,0.007642668013248475,11485.483582540317
base,0,81920,1351.4511467886223,3282.6371525418253,-849.5249863984104,7899.801887518327,10,785.9808004170143,565.470346371608,0.052850151809254536,11485.483582540317
base,0,106496,649.8108648260655,1550.3353984048456,-836.6350504536789,4252.573142465753,10,785.9808004170143,-136.16993559094874,-0.012726753602581822,11485.483582540317
base,0,131072,2633.4116010896205,3223.389871637213,-832.8761390058182,9745.791495690994,10,785.9808004170143,1847.4308006726062,0.17266510772693314,11485.483582540317
base,0,155648,1425.5214411426057,2100.7916468814115,-837.5367148837934,5597.055058087979,10,785.9808004170143,639.5406407255914,0.05977293091921627,11485.483582540317
base,0,180224,1783.5981175673976,1639.3237373146935,-835.0102781384724,4701.042585161245,10,785.9808004170143,997.6173171503833,0.09323959602346753,11485.483582540317
base,0,204800,1323.0887172913517,2044.0242618605923,-829.8025686113721,5198.3320914937,10,785.9808004170143,537.1079168743374,0.050199334283228224,11485.483582540317
base,0,229376,2336.5804690901246,2567.2480934244386,-833.1859672848278,7041.362729560297,10,785.9808004170143,1550.5996686731103,0.14492259127395385,11485.483582540317
base,0,253952,2366.006759419881,2977.437108315618,-831.9989252493527,8202.105012542876,10,785.9808004170143,1580.0259590028666,0.14767283966644656,11485.483582540317
base,0,278528,2416.0767369221417,2193.4838400301414,-837.6051519596614,6382.851391610018,10,785.9808004170143,1630.0959365051274,0.1523524942744381,11485.483582540317
base,0,303104,1715.2101217673019,2920.31794506858,-837.1952596112734,9359.26219325397,10,785.9808004170143,929.2293213502876,0.08684789753183608,11485.483582540317
base,0,327680,784.4517960951322,1355.7257864296446,-840.3758114361802,3439.731613156553,10,785.9808004170143,-1.5290043218820983,-0.0001429042407740526,11485.483582540317
base,0,352256,2775.494060017226,2646.567364610315,-844.1395229325078,7023.072387172388,10,785.9808004170143,1989.5132596002115,0.1859444592825696,11485.483582540317
base,0,376832,1583.572320434216,1961.39278543794,-845.6739577927856,5564.240259992642,10,785.9808004170143,797.5915200172017,0.07454472756203871,11485.483582540317
base,0,401408,2049.9951174276193,2547.8154087163566,-849.2675804775049,9037.082958003266,10,785.9808004170143,1264.014317010605,0.11813766888349042,11485.483582540317
base,0,425984,1532.314715921745,2115.4887656570245,-930.8276124461045,5520.608050106901,10,785.9808004170143,746.3339155047306,0.06975407461755596,11485.483582540317
base,0,450560,1972.7155990964886,2382.524949048583,-856.5410015074468,8003.281785915388,10,785.9808004170143,1186.7347986794744,0.11091494836109135,11485.483582540317
base,0,475136,3506.0703193871436,3854.9467140913066,-865.7835779310276,11293.997792667757,10,785.9808004170143,2720.0895189701296,0.2542257873198202,11485.483582540317
base,0,499712,2529.995023882869,4149.2582988135,-859.4924279616338,11215.8383431729,10,785.9808004170143,1744.014223465855,0.16299955790625606,11485.483582540317
base,1,0,6727.982055801181,4252.466367308169,-447.897562749142,10965.201568297949,10,6727.982055801181,0.0,0.0,11485.483582540317
base,1,32768,8881.840184425559,3230.8053976674682,1589.1376827746162,11304.26801661164,10,6727.982055801181,2153.858128624378,0.45272883593753377,11485.483582540317
base,1,57344,8051.753866719286,3240.0698597008677,2094.953570084969,10969.874508070938,10,6727.982055801181,1323.771810918105,0.2782493716922018,11485.483582540317
base,1,81920,6835.760142674206,4197.907170228922,-316.9451472329383,10781.986918573002,10,6727.982055801181,107.77808687302513,0.022654346245526803,11485.483582540317
base,1,106496,5256.487901305277,4937.091024514331,-454.9830022435725,10825.322617383152,10,6727.982055801181,-1471.4941544959038,-0.30929977550531407,11485.483582540317
